vematikā	123
dissanti	123
buddhassa	123
pāpimā	123
janeti	123
veramaṇiyā	123
dassanaṃ	122
ciraṃ	122
antamaso	122
paṇidhāya	122
nālaṃ	122
yādisā	122
orambhāgiyānaṃ	122
assaṃ	122
bahulīkatattā	122
kiñcetaṃ	122
kinti	121
bhattaṃ	121
yādiso	121
upāli	121
araññe	121
ujuṃ	121
āpadāsu	121
ummattikāya	121
ādikammikāyāti	121
sutanti	121
velāyaṃ	121
bhikkhavoti	121
sohaṃ	120
purato	120
passitvā	120
kālamakāsi	120
aññatarassa	120
handa	120
ekacce	120
muccati	120
khamati	120
dukkaṭaṃ	120
vepullāya	120
aggi	120
nibbidāya	120
pītiyā	119
sukhassa	119
atthaṅgamā	119
nayidaṃ	119
kesamassuṃ	119
jānāsi	119
nacirasseva	119
sirasā	119
saṃvattantīti	119
sammadeva	119
aggamakkhāyati	119
bāhaṃ	119
sevitabbo	119
cakkhuviññāṇaṃ	119
sucaritaṃ	119
saṃyojanāni	119
mārassa	119
asappuriso	119
bhojanaṃ	118
kenaci	118
abhinivissa	118
aneke	118
hitvā	118
icchā	118
upekkhā	118
gotamoti	117
vitakkavicārānaṃ	117
bhūtapubbaṃ	117
pajahatha	117
majjhe	117
rājāno	117
samāpanno	117
sāvatthiṃ	117
janā	117
kiñcāpi	117
aggiṃ	117
sante	117
paripūreti	117
vūpasamā	116
vuṭṭhito	116
nivesanaṃ	116
manāpo	116
nanu	116
assasissāmīti	116
assāti	116
bojjhaṅge	116
veḷuvane	116
satto	116
padaṃ	116
anuruddho	116
jānatā	116
opapātikā	116
tiṭṭhato	116
imañca	116
anāgatamaddhānaṃ	116
pātubhāvo	116
saṅkhāresu	116
pāpakānaṃ	115
ṭhite	115
ṭhitaṃ	115
satipaṭṭhānā	115
parikkhayaṃ	115
puttā	115
mamaṃ	115
sokaparidevadukkhadomanassupāyāsā	115
satthari	115
viññāṇe	115
catūsu	115
bhadanteti	115
pahātabbā	115
jarāya	115
ohāretvā	114
yāvajīvaṃ	114
passasissāmīti	114
ādīnavaṃ	114
pakkamati	114
viditā	114
vacanīyaṃ	114
anuppatto	114
khvassa	114
vipākaṃ	114
nigrodha	114
samanuñño	114
tibbā	114
dveme	114
dī	113
amutra	113
abbhaññāsiṃ	113
avidūre	113
kāsāyāni	113
acchādetvā	113
adhippetā	113
samattaṃ	113
aṭṭhahi	113
vaḍḍhati	113
adhammo	113
viññāṇanti	113
puṭṭhā	113
vuddhiyeva	113
sāvakasaṅgho	113
duvidhena	113
paññindriyaṃ	113
anuruddhā	113
ātāpino	112
gotamena	112
lābhā	112
piṇḍapātaṃ	112
āgato	112
ayyā	112
tāsaṃ	112
cakkhumā	112
vimuttaṃ	112
aṅgehi	112
paribbājakānaṃ	112
upakkileso	112
pasavati	112
assutavā	112
vuttañhetaṃ	112
vuttamarahatāti	112
akkhātā	111
maṃsaṃ	111
avaca	111
kuṭiṃ	111
rajjaṃ	111
napi	111
vihareyya	111
passatā	111
samphappalāpā	111
passitabbaṃ	111
etadavocaṃ	111
nāssa	111
aññatarasmiṃ	110
sāsanaṃ	110
samādhiṃ	110
sārambhaṃ	110
mayampi	110
gatanti	110
udāhu	110
mahākaccāno	110
tathāgate	110
cutā	110
byākaroti	110
sarīranti	110
aññathattaṃ	110
aññatitthiyānaṃ	110
vaggo	110
mahāsamudde	110
vacanīyo	109
dūratova	109
māgadho	109
sīsaṃ	109
ānandassa	109
vadeyyuṃ	109
sīlena	109
bhavo	109
samudācaranti	109
iddhipādaṃ	109
anuppannassa	109
pañcimāni	109
idamassa	109
kāmānaṃ	108
aññatarā	108
pabbate	108
katthaci	108
seyyaṃ	108
jano	108
diṭṭhe	108
etadeva	108
bhoti	108
manoviññāṇaṃ	108
nikāmalābhī	108
yogakkhemaṃ	108
vijjācaraṇasampanno	107
nimittaṃ	107
vigarahitvā	107
rasaṃ	107
balāni	107
upakkamati	107
kattā	107
vipulena	107
sakkatvā	107
maññeyya	107
rajanīyā	107
gandhā	107
vijjatīti	107
sabbā	107
akicchalābhī	107
nābhinandati	107
assādo	107
socati	107
purimaṃ	106
gaṇhāti	106
licchavī	106
kulāni	106
medhāvī	106
heva	106
bahūsu	106
santuṭṭho	106
appaṃ	106
tādiso	106
piyarūpā	106
bhāvento	106
